SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://irconference.twse.com.tw/2376_27_20260515_ch.mp4
VIDEO TITLE: TWSE irconference replay
CALL DATE: 05-15-2026
QUARTER: Q1 FY2026
# source label: Gigabyte Q1 FY2026 (05-15-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 907   characters: 11,191

---
[00:13] 歡迎各位投資先進參加技嘉科技股份有限公司
[34:52] 把算力產生出來
[34:55] 那我們在AIG
[34:56] 記錄建設從建制到落地上有
[35:00] 完整的決決方案
[35:01] 那我想在
[35:03] 我們也拓展到各地跟
[35:06] 世界合作夥伴
[35:07] 所以一些強強的在地聯手合作
[35:11] 那技嘉在這方面
[35:13] 一定會持續保持保持領先
[35:16] 謝謝李總
[35:18] 聯發科技展示新落存的銅鑼
[35:21] 研發資料中心
[35:23] 視為全台首做採用NVIDIA
[35:25] DJX B200平台打造的CyberPAR
[35:28] 超級範例中心
[35:30] 從電視畫面我們可以看到
[35:32] AI Server上面的LOGO就是MiliaTek
[35:34] 以及Gigabyte
[35:36] 因為技嘉並未正式
[35:38] 發佈任何新聞寶
[35:40] 所以可不可以請執行長多多分享一下
[35:43] 目前與聯發科合作的情況
[35:45] 以及企業專建構AI算力的趨勢
[35:49] 技嘉一項保護客戶機密為重要指責
[35:54] 那如果客戶發佈的合作訊息
[35:56] 我們請以客戶的公告為準
[36:00] 那我們對相關資訊不做任何評論
[36:03] 那可以跟各位投資先進來看
[36:06] 在AI的產業的
[36:08] AI產業快速的大趨勢下
[36:10] 那企業中有很多的新的成長機會
[36:14] 越來越多企業
[36:16] 進階級投入高效能運算
[36:19] 那佈局變成AI 凝端AI的解決方案
[36:23] 那
[36:24] 你讓看到的是AI的成長期
[36:27] 跟整體的
[36:29] 那倒是相當的熱絡
[36:32] 那我們技嘉除了提供
[36:35] 那通緝跟藝能的整體解決方案以外
[36:38] 那我們提供更好的PUE跟TCO
[36:42] 那的解決方案讓客戶達到成本效益
[36:46] 可靠可耗糊更高的AI算力平台
[36:50] 那我想這方面
[36:52] 我們在客戶的合作上面的案件
[36:54] 也是會越來越多也倒數的成長
[36:58] 謝謝你 總
[37:00] 技嘉在AI Server的傳評組合中
[37:03] 3B HGX RTX的產品相對定位以及比例狀況
[37:09] 可否請發言人幫忙說明
[37:12] 嗯
[37:13] GVHGS RTS 我想更具Media的Romeable
[37:17] 大家可以看到針對不同的算力需求
[37:19] 就會有不同對應的一個解決方案
[37:22] 那目前來看的話
[37:23] GV的產品是越來越成熟
[37:26] 成熟度越來越好
[37:27] 所以客戶導入GV的百分比
[37:29] 在持續拉升收
[37:31] 那以技嘉來講的話
[37:32] 去年第四季度大概是佔到20%左右
[37:36] 那第幾度
[37:37] 嗯
[37:38] 因為客戶出現了稍微少一點
[37:40] 那第二季度開始
[37:41] GV的百分比也為持續拉高
[37:44] 那但是要強調就是說
[37:46] 在同時間
[37:47] HGX的解決方案非常的成熟
[37:50] 而且它的算力部件非常的彈性
[37:53] 所以HGX這一塊也是持續在成長
[37:55] 那RTX的部分
[37:57] 嗯
[37:58] 市場也是有蠻蠻強大的需求
[38:01] 所以應該是百八七棒
[38:03] 每個SIG根本都持續在成長
[38:04] 應對不同算力的需求
[38:07] 謝謝發言人
[38:09] 現在提示有關於AI Data Center的客戶比重
[38:12] 亞洲 歐洲 美洲的客戶分佈的情況如何
[38:16] 請問美洲還是最大的市場嗎
[38:20] 以Hackort來講的話
[38:22] 我想AI Data Center還是美國公司發展的最快
[38:25] 但是要跟各位報告就是
[38:28] AI的Data Center
[38:30] 它可能美國公司它也會在全世界見
[38:33] 所以事實上AI Data Center在美洲 歐洲 亞洲
[38:36] 都會有很多的計畫在推動
[38:39] 那每個Quarter的比例不會完全一樣
[38:42] 那
[38:43] 第一季度大概是亞洲比較多
[38:45] 那接下來歐洲跟美洲也會快速的發展
[38:49] 所以整年
[38:50] 整個年度來看起來的話比例其實還蠻接近
[38:55] 謝謝發言人
[38:56] 2016年CAPTES的資本支出
[38:59] 產能規劃 隨著客戶的成長超出預期
[39:02] 請問進度是否有機會上修
[39:05] AI Server的產能及區域的規劃分配
[39:08] 或者分別是如何
[39:10] 我想技嘉一直產能規劃就是會按照
[39:13] 客戶的需求
[39:14] 那我們會跟客戶洽談 服作狀況
[39:18] 然後提前入食
[39:19] 所以技嘉的AI Server的產能是一直在
[39:22] 一直在提升的
[39:24] 那我想剛才李宗友報告 我們大概
[39:27] 今年
[39:28] 全部到位的話 應該會有
[39:30] 加費的產能相較的距離
[39:32] 所以我們不管是美國 馬來西亞
[39:36] 或者是台灣的產能都入局開除
[39:39] 那今年也會持續再提升
[39:42] 那我們目前第一季度大概資本支出是
[39:44] 4.8億
[39:46] 那主要就是在辦公大樓的構置
[39:48] 還有產能機器設備的投資
[39:52] 那整年目前預估的金額是在大概
[39:54] 25到27億台幣左右
[39:57] 謝謝發言人
[39:59] 請問公司2025年以及2026年的Q1
[40:03] AI Server以及通用型的Server 出過情況如何
[40:07] 公司的AI Server跟傳統的Server
[40:09] 在整體的營收比重 可否分享
[40:13] 我想都非常的強勁
[40:14] 我想大家剛可以看到
[40:17] 李宗友報告說我們的AI伺服器在
[40:20] 第一季度大概成長了110%
[40:23] 那傳統伺服器現在其實隨著
[40:27] 推論跟AI捲 事實上也是越來越紅
[40:30] 所以兩個都同時在發展
[40:33] 只是在營收數字上因為
[40:36] 因為一般伺服器的話 我們有時候是
[40:39] 出Server或Server Verge 雖然它營收比較小
[40:42] 那AI伺服器的營收比較大
[40:44] 所以大概超過八成多接近九成
[40:47] 還是AI伺服器 大概是這樣做
[40:51] 謝謝發言人
[40:52] NVIDIA即將推出下一代Vera Rubin的平台
[40:56] 請問規格跟時程是否已經確認
[40:59] 這家量產以及預計出貨的時間
[41:01] 預計是什麼時候
[41:04] 這家意思就是會領先Tando Market
[41:07] 所以我們的一些project都是
[41:10] Follow NVIDIA Roadmap 非常的緊
[41:12] 所以Tando Market絕對沒有問題
[41:14] 不過目前預計是下半年開始量價
[41:18] 不過最後的時間點都還是NVIDIA正式宣布為主
[41:21] 那我想可以跟各位報告確定
[41:25] 就是這家覺得會Tando Market是領先的
[41:28] 謝謝發言人
[41:29] 看起來這家營運展望非常的樂觀
[41:32] 請問執行長有沒有想要對投資人強調的
[41:36] 我想台灣電腦 台北電腦展快到了
[41:40] 歡迎大家到這家科技的館位來看觀
[41:43] 我們在 我們有兩個故事
[41:45] 一樓是主要是在AI的工廠建制
[41:49] 甚至到模組化資料中心的
[41:52] 機櫃 機櫃型的重啟
[41:55] 那這個可能需要事先跟發言人這邊先
[42:00] 因為
[42:01] 因為這個有預約制度
[42:03] 所以請跟發言人這邊做一下預約
[42:06] 那甚至我們已經 我們會有醫療跟自動化的
[42:09] 落地AI physical AI的系統也會展出
[42:14] 那這由這樣子呈現出整體的
[42:17] 從Inverse Virtual建制到落地的整個流程
[42:20] 都可以在AI
[42:22] 技嘉的一樓的故事看到
[42:25] 那開發 同時我們也有展示開發
[42:27] 就是剛才講AI AI Victory的Executive
[42:31] 那它是 開發是建制到
[42:36] 台灣的土生一個AI工廠
[42:39] 那它會搭載最新的
[42:42] AI晶片 運算平台 還有高速網路
[42:46] 那還有我們的自己的管理系統
[42:49] 那打造完整的AI的機構建設
[42:53] 那我們透過這個開發 開發的系統的AI
[42:55] 機構建設 我們會幫助
[42:58] 相關的企業
[43:00] 然後建置模型 甚至調整模型
[43:04] 那
[43:05] 把甚至幫助我們的企業去
[43:09] 附屬AI的能力
[43:10] 那
[43:12] 加速客戶導入整個AI的工廠的
[43:16] 時程
[43:18] 那大家有機會可以到我們的副司來看一下
[43:22] 謝謝李總
[43:23] 請問Ali長官有沒有什麼要分享的
[43:27] 一家今年除了在一樓攤位
[43:29] 展示AI基礎建設跟
[43:32] 段瑞端的產品解決方案以外
[43:34] 我們在四樓有一個專屬的單位
[43:37] 呈現便利運算跟通端的一些消費者的AI
[43:41] 運用
[43:42] 我們希望能夠進一步延伸求基礎架構
[43:46] 到實際應用的整體的AI的佈局
[43:49] 歡迎大家一起來
[43:55] 那謝謝公司經營團隊的回覆
[43:57] 我們提問環節就進行到這邊
[44:00] 感謝大家不碰參加技嘉法說會
[44:03] 法說會到此告一段落
[44:05] 謝謝今天代表出席的經營團隊
[44:07] 也感謝各位在此先進的參加
[44:09] 謝謝
