SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://flv.ccdntech.com/vod/_definst_/mp4:vod160/Unimicron/202907291.mp4/playlist.m3u8
VIDEO TITLE: replay
CALL DATE: 07-29-2026
QUARTER: Q2 FY2026
# source label: Unimicron Q2 FY2026 (07-29-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2697   characters: 17,480

---
[00:00] 時間會出我想
[32:31] 也就相對
[32:32] 相對會讓我們BT的
[32:34] 一個占比來講
[32:35] 看起來是比較弱化的
[32:37] 但是也的確
[32:38] 我們在做一些
[32:39] BT的一些轉型
[32:41] BT產品的轉型
[32:42] 因為在這裡面
[32:43] 大家可以看到
[32:44] 就是說
[32:45] BT在一出售
[32:46] 它其實有兩件事情
[32:47] 第一個是市場
[32:48] 市場的部分
[32:49] 所有的這些
[32:50] Movai 或是電子銷售性產品
[32:52] 不容易取得Memory的
[32:54] 資源
[32:55] 也就是保證他們必須
[32:57] 分析一些
[32:58] 晶片本來的一些保留份合
[33:01] 他們會釋放出去
[33:02] 讓這些AI的客戶
[33:03] 能夠拿到多一些些
[33:05] 這些單帶的晶片
[33:07] 所以在這部分來講
[33:08] 這也會說
[33:09] 雖然BT變少
[33:11] 但是ABF
[33:12] 可以順利產節
[33:13] 讓他們得到晶片的Support
[33:15] 同時再來看就是說
[33:17] 我們內部在做
[33:18] 哪一些事情
[33:19] 這是外在環境
[33:20] 我們回頭看
[33:21] 我們自己晶片裡面
[33:22] 都在做這些
[33:23] 轉型的部分
[33:24] 因為現在的
[33:25] 大量的尺寸的改版來講
[33:27] 很多都是
[33:28] 工資是
[33:29] 複合緊版
[33:30] 這些又或者是
[33:31] 這一塊的話
[33:32] 我們就是
[33:33] 佛化我們現在目前的
[33:34] TSC的產房設備
[33:36] 還有我們的技術
[33:37] 還有包括我們的工程
[33:39] 工程還有研發的一些能力的釋放
[33:41] 盡快地去補上這一塊
[33:43] 那我們在這些
[33:44] 先進的代入的產能的部分
[33:46] 我們就可以專注在
[33:48] 新的這些產品平台裡面
[33:50] 比較不需要用到
[33:52] 在擴成這一塊的一些
[33:54] 發展的一些資源的投入
[33:57] 那我們就同時並進
[33:59] 可以快速的
[34:00] 開發
[34:01] 我們在
[34:02] EI下世代下世代的一些產品準備
[34:04] 所以這兩件事情
[34:05] 同時都在發生
[34:06] 一個是大環境
[34:07] 剛好對於Qt
[34:09] 非常有利的
[34:10] 在Qt的時候
[34:11] 對於AVFG有利的
[34:12] 但是對於
[34:13] 我們自己新的內部來講
[34:14] 我們在做很多的
[34:15] 一些轉型
[34:17] 謝謝
[34:18] 想再報告一下
[34:19] 剛剛的DIYB提的問題
[34:21] 剛剛工程提到說
[34:22] RAM應該是裡面
[34:23] 然後
[34:24] First phase
[34:25] 那First phase
[34:26] Cartnerly的兩面大概是
[34:27] 50%
[34:28] 那我想問一下
[34:29] 這個兩面大概要到
[34:31] Synamolabel
[34:32] 它的
[34:33] 破裂率有可能
[34:34] 才可以跟這個
[34:35] 目前Caust
[34:36] 來做一個
[34:37] 合理的
[34:38] DIYB比較這樣子
[34:39] 其實
[34:40] 這個部分
[34:41] 我們可能就很難從
[34:43] 我們自身的改版來
[34:45] 回答這個問題
[34:46] 可能要站在
[34:47] 政府要站在
[34:48] 客戶的角度
[34:49] 怎麼去看待
[34:50] 這兩個先進風裝的
[34:51] 解決方案
[34:52] 它的Porto Cost
[34:53] 對客戶的影響
[34:54] 那至少我從客戶這邊
[34:56] 聽到的懶惠
[34:57] 是目前來講
[34:58] 他們在跟
[34:59] E-Milk T
[35:01] 在必有這個
[35:02] Business Model的時候
[35:03] 他們是拿到比較好的
[35:05] 成本的表現
[35:07] 以及真正的
[35:08] 產品的Performance
[35:09] 表現
[35:10] 這兩件事情上面
[35:11] 在當下
[35:12] 他們決定
[35:13] 走對E-Milk T的時候
[35:14] 他們也拿到
[35:15] 這兩個優點的
[35:16] 那如果再來看
[35:17] 我們改版部分
[35:18] 我就覺得
[35:19] 比較不容易比較
[35:20] 因為在
[35:21] Coward裡面
[35:22] 它其實是有
[35:23] 一層Interpolar的
[35:24] 在E-Milk T裡面
[35:25] 是沒有
[35:26] 所以對於改版來講
[35:28] 我們去捨破一個
[35:29] Coward的機板
[35:31] 當然如果
[35:32] 它還跟錯E-Milk T的機板來
[35:33] 一定是E-Milk T的機板
[35:35] 不會
[35:36] 但是其實應該要考量
[35:37] 是E-Milk T的機板
[35:39] 要去扣掉他們在
[35:41] Coward的下廓裡面
[35:42] 審掉那一層
[35:43] Interpolar的
[35:44] 前面出出
[35:45] 目前看起來
[35:46] 理論值應該是
[35:48] Coward會比較
[35:49] 稍微略過一些
[35:51] 所以才會
[35:52] 讓客戶有這個想法
[35:53] 想要去使用
[35:54] E-Milk T
[35:55] 再加上Coward
[35:56] 確實這樣一放
[35:57] 那可能
[35:58] 產能上面
[35:59] 目前還是不夠
[36:00] 難度客戶全部的需求
[36:02] 所以它也必須要
[36:03] 去做一件
[36:04] 對客戶來講
[36:05] 它也需要去做
[36:06] 其實它一些
[36:07] 方便的設計
[36:08] 你看看你這樣
[36:09] 你有沒有看
[36:10] 我看我捨破
[36:11] 我想
[36:30] 可以嗎
[36:31] 捨破
[36:38] 我們也領取一邊
[36:39] 請教一下Coward
[36:40] 我可以表明
[36:46] 想問一下
[36:47] 其實剛才提到說
[36:48] 因為看起來就是
[36:49] 你會從Coward
[36:50] 到E-Milk T
[36:51] 這個Telecology
[36:52] 其實這樣子
[36:53] 轉換就轉到
[36:54] 在單子邊來
[36:55] 那我們想請問一件事情
[36:57] 是
[36:58] 明天要提到
[36:59] 第一步
[37:00] 三家的
[37:01] 代表 player
[37:02] 目標的兩對
[37:03] 不十五十percent
[37:04] 在這個五十
[37:05] 明天要提到說
[37:06] 這個本身Coward
[37:07] 跟E-Milk
[37:08] 這樣的
[37:09] 從Potocoa
[37:10] 講出來看
[37:11] 之前E-Milk的優勢
[37:12] 是在
[37:13] 什麼樣的領域下
[37:14] 另外在
[37:15] 這個五十percent
[37:16] 只是我們家
[37:17] 那我想問
[37:18] 在五十percent
[37:19] 目前所涉算的
[37:20] 我們的獲利率
[37:21] 跟目前
[37:22] 我們的
[37:23] 代表
[37:24] 這個才來淡
[37:25] 比起來
[37:26] 我要怎麼思考
[37:27] 這第一個問題
[37:36] 是因為大家
[37:37] 對
[37:38] 其實
[37:39] 這個是比較牽涉到
[37:40] 我們跟客戶
[37:41] 的一些busy battle
[37:42] 但是
[37:43] 簡單講
[37:44] 就是說
[37:45] 在E-Milk T
[37:46] 這個全新的技術
[37:47] 上面來講
[37:48] 客戶
[37:49] 我覺得也很感謝客戶
[37:50] 他願意多保障
[37:51] 保護我們
[37:52] 來版公益上多一些
[37:54] 所以
[37:55] 我們是按照
[37:56] 不同的
[37:57] 良率的表現
[37:59] 來確定
[38:01] 我們都會拿到一定的
[38:03] 這個
[38:04] 過濾
[38:05] 所以
[38:06] 在這個部分來講
[38:07] 我們就是
[38:08] 只要努力的
[38:09] 把良率做好就好
[38:10] 那至於
[38:11] 在過濾的部分
[38:12] 這個客戶
[38:13] 是會給予我們保障
[38:14] 是
[38:17] 這個很重要
[38:18] 這個很重要
[38:19] 這個對我來講
[38:20] 很重要
[38:21] 那
[38:22] 如果順暢
[38:23] 不可以這樣說
[38:24] 如果我們真的
[38:25] 做到50%的must-on
[38:26] 理論上
[38:27] 它會比我們現階段
[38:28] Idea Red毛的B更好
[38:30] 我們在
[38:31] 一開始的
[38:32] 設計來講
[38:33] 就是說
[38:34] 50%
[38:35] 我們跟客戶
[38:36] 談的這個
[38:37] 這個獲利
[38:38] 是我們很開心的
[38:39] 獲利
[38:40] 我們願意去
[38:41] 擬住我們的
[38:42] 這些重要的資源
[38:44] 來把這個技術
[38:45] 開發成功
[38:46] 那在50%以下
[38:47] 我們是得到
[38:48] 充分的保護的
[38:49] 那如果說
[38:50] 做得比50%好
[38:51] 會有什麼樣的結果呢
[38:52] 其實應該是這樣講
[38:53] 我們就會
[38:54] 有更多的產能釋放
[38:56] 所以我們會在
[38:57] 營收跟整體的
[38:58] 獲利上面
[39:00] 又可以從價公率上面
[39:02] 會得到更多的
[39:03] 獲利
[39:04] 而且我們就是
[39:05] 可以
[39:06] 在
[39:07] 讓我們
[39:08] 談到設備
[39:09] 有一些發風來的
[39:10] 但是
[39:11] 其實良率就是
[39:12] 釋放設備產品
[39:13] 最好最快的方法
[39:14] 所以其實
[39:15] 我覺得
[39:16] 也是
[39:17] 我們大家
[39:18] 非常期待的事情
[39:19] 因為我們現在的
[39:20] 多產能
[39:21] 的發風
[39:22] 都是基於一個
[39:23] 我們
[39:24] 蠻保守的良率
[39:25] 去做試算
[39:26] 大概這樣
[39:28] 那另外想問
[39:29] CAPEX
[39:30] 因為我們對這個
[39:31] 調高了
[39:32] 今年的CAPEX
[39:33] 那我想剛才
[39:34] 先進一步有人問
[39:35] 就是以
[39:36] 我們目前的狀況來看
[39:37] 就是過去
[39:38] 往前五六年
[39:39] 甚至十年
[39:40] 我們可能沒有
[39:41] 待一年看到
[39:42] 我們資本
[39:43] 就出這麼大的一次
[39:44] 那我可以
[39:45] 先請教一下說
[39:46] 第一個
[39:47] 在價格上
[39:48] 因為過去
[39:49] 我們
[39:50] 我們要放置高度
[39:51] 我們這次
[39:52] AIR跟PC不一樣
[39:53] 那我們可以
[39:54] 進入請問
[39:55] 從你的角度來看
[39:56] 這次我們看到
[39:57] 過濾率的長相
[39:58] 跟過去的期望
[39:59] 會有幾乎不一樣
[40:00] 這是第一個問題
[40:01] 那CAPEX
[40:02] 我們在細部
[40:03] 我們在明知
[40:04] 我想告訴你說
[40:05] 這裡頭
[40:06] 規築與ABS
[40:07] 如果可以的話
[40:08] 請問
[40:09] 英立的溜溜多少
[40:10] 謝謝
[40:16] 剛好
[40:17] 這個
[40:20] 現在的
[40:25] 所以您的問題是說
[40:27] 在
[40:28] 偷偷的這一部
[40:29] 然後我今年
[40:30] 就提高到
[40:31] 150萬
[40:32] 對
[40:33] 然後我們都可以
[40:34] 比較長膠型的買多了
[40:35] 這裡頭
[40:36] 我怎麼去分析
[40:37] 對
[40:38] 他開始規築
[40:39] 對
[40:40] 我想
[40:41] 我們這一次的
[40:42] 這個
[40:43] 2026追加的197億
[40:46] 還有這個長膠型
[40:48] 增加的這個
[40:49] 175億
[40:50] 這總共
[40:51] 剛剛說是370億
[40:53] 那這個主要
[40:55] 大概有
[40:56] 80
[40:57] 85%左右是
[41:00] 我們這個
[41:01] ABF的部分
[41:03] 那剩下
[41:04] 其他15%
[41:06] 可能就是我們一些
[41:08] 這種
[41:09] 這個
[41:10] 這個
[41:11] 廠房的一些
[41:12] 其他的一些部分
[41:14] 那
[41:15] 這個這個
[41:17] 這個這個設備
[41:19] 主要就是
[41:20] 在我們的
[41:21] 這個
[41:24] 光復光復
[41:25] 光復二場的
[41:27] 一個後段的一個投資
[41:30] 然後還有就是
[41:31] 我們的這個
[41:32] 陽梅二場
[41:33] 因為我們陽梅二場
[41:35] 現在已經動土
[41:36] 第二季已經動土
[41:38] 動土在相見
[41:40] 所以
[41:41] 有些這個設備
[41:42] 我們是希望
[41:43] 能夠在2027到2028
[41:46] 能夠
[41:47] 能夠進場
[41:49] 那另外還有就是
[41:50] 剛有提有
[41:51] 有一部分的土建
[41:53] 就是
[41:54] 兩梅三
[41:55] 第三的工廠
[41:56] 我們預計在今年年底
[41:58] 明年初
[41:59] 會動土興建
[42:01] 那剛才
[42:03] 楊副總也提到
[42:05] 後續都是搭配了一些
[42:07] 客戶的一些需求
[42:09] 那另外還有一部分
[42:10] 就是我們在
[42:12] 這個蘇州
[42:14] 中國
[42:15] 蘇州群策
[42:16] 的一部分的這個
[42:18] ABF的投資
[42:20] 那這個我們在
[42:29] 針對一些
[42:30] 剛剛有談到的一些東西
[42:32] 要想問你
[42:33] 做一些說明
[42:34] 在那個
[42:35] 獲利的部分來講
[42:37] 其實應該講說
[42:38] 我們現在跟客戶
[42:39] 在準備
[42:40] 後面的這些
[42:41] LGA尤其包括像你說的
[42:43] 法律
[42:44] 如果是甚至
[42:45] 未來這個十四個月
[42:46] 一種很大的月
[42:47] 一種這樣子的
[42:48] 這些平台的時候
[42:49] 其實我想講就是說
[42:50] 這些長期合約的
[42:52] 這些合作
[42:53] 這些深度的一些
[42:55] 夥伴關係
[42:56] 其實應該是說
[42:57] 我們在很多方面
[42:58] 至於價錢面子
[42:59] 我們在做的事情是定價
[43:02] 而不是只是調整
[43:05] 所以我們在
[43:06] 一開始的時候
[43:07] 跟這些客戶在做
[43:09] 這些深度的開發
[43:11] 還有未來做準備的時候
[43:13] 我們對於
[43:14] 未來的很多的
[43:15] 技術的研發開發
[43:17] 就是在
[43:18] 進入在這個當下
[43:19] 我們就已經開始在做準備
[43:21] 在做準備的過程當中
[43:22] 協助客戶去評估
[43:23] 這些新的技術過程當中
[43:25] 其實我們就
[43:26] 制定了我們
[43:27] 的災感價錢
[43:28] 那制定災感價錢不能當中
[43:30] 當然就決定了
[43:31] 我們的過程
[43:32] 那這些東西
[43:33] 我們當然也會考慮到
[43:34] 我們在
[43:35] 方方面你的成本
[43:36] 兩率的一個
[43:37] 爬坡的階段
[43:38] 還有我們在
[43:39] 早期可能會比較
[43:40] 比較辛苦
[43:41] 因為我們在成長
[43:42] 開的時候
[43:43] 可能要跟階段開出
[43:44] 所以這東西
[43:45] 就是我們可以有
[43:46] 比較高的一個
[43:47] 一個主動權
[43:48] 來做一些企劃和規劃
[43:49] 確保我們在
[43:50] 整個LTA的過程當中
[43:52] 我們的財運
[43:53] 尤其是貨業
[43:54] 我們就是低一點
[43:55] 那第二點
[43:56] 可能我覺得
[43:57] 剛好好像有看
[43:58] 裁刀姐就說
[43:59] 還好像滿想知道
[44:00] 我的投資裡面
[44:01] 有多少的投資
[44:02] 跟低一點的
[44:03] 是比較相關的
[44:04] 其實我自己
[44:05] 有稍微有看過
[44:06] 因為我們自己
[44:07] 要去去平衡
[44:08] 這些我們後面
[44:09] 這些發展
[44:10] 所以我覺得
[44:11] 大家可能也還
[44:12] 大家應該都
[44:13] 注意到現在的
[44:14] BI裡面有
[44:15] 蠻大部分
[44:16] 跟推論有關
[44:17] 都是走CPE
[44:18] 其實這一塊
[44:19] 這樣很大
[44:20] 那而且
[44:21] 它都是走放費
[44:22] 所以它的發力
[44:23] 的成績會非常的高
[44:24] 那這些工地
[44:25] 其實它甚至
[44:26] 不需要cowarse
[44:27] 所以我們除了cowarse
[44:29] 除了E-MID
[44:30] 我們還有很大一塊
[44:31] 的產能開出
[44:32] 是一般的V3-BG的
[44:34] TactiPing
[44:35] 所以在這樣的情況下
[44:37] 我覺得如果以
[44:38] 整體的這些
[44:39] 工裝方式來看
[44:40] 我認為E-MID
[44:41] 在我們這個階段
[44:42] 一開始願意
[44:44] 去做這個
[44:45] innovation的
[44:46] 客戶的量產的情況下
[44:47] 我覺得這整個的投資
[44:49] 可能是連10%
[44:50] 都不到
[44:51] 但是在這個
[44:52] 10%都不到
[44:53] 投資裡面
[44:54] 如果我們再去把它細細的
[44:55] 把它
[44:56] 開開的話
[44:57] 就會發現
[44:58] 這裡面真正的專屬於
[44:59] 音樂的T
[45:01] 專用的設備
[45:02] 那又可能只占
[45:03] 這個10%
[45:04] 15%
[45:05] 20%
[45:06] 因為我還是有
[45:07] 很多通用型的設備
[45:10] 那其實這也是
[45:11] 我們當時在做
[45:12] 這些長期文化裡面
[45:13] 我們Bitx的
[45:14] BitxModel裡面
[45:15] 放了一個彈性
[45:16] 因為我們都知道
[45:17] 現在的產能的
[45:18] 準備要很早期準備
[45:20] 因為當
[45:21] 我們通通也希望說
[45:22] 不期待設備
[45:23] 能太長
[45:24] 所以大家也發現
[45:25] 我們這些日本的
[45:26] 調整體驗
[45:27] 有很多在於長焦期
[45:28] 所以
[45:29] 那在這麼早
[45:30] 要做的這個情況下
[45:31] 那客戶可不可以保留一些
[45:33] 在於工莊方式的選擇
[45:35] 選
[45:36] 不需要在這些
[45:37] 長焦期設備的情況下
[45:39] 就這麼早被防止
[45:40] 當然可以
[45:41] 所以這個我們這客戶
[45:42] 也是有一些很smart
[45:43] 比賽在裡面的
[45:44] 也就是說
[45:45] 這些客戶
[45:46] 在我們不品的產業裡面
[45:47] 那如果客戶
[45:48] 他評估之後
[45:49] 他決定要用
[45:50] 廢事啊
[45:51] 不去去去的方式
[45:52] 來工莊
[45:53] 來消化這些產業
[45:54] OK
[45:55] 如果客戶
[45:56] 他想要繼續往這個
[45:57] 英文的貼光量
[45:58] OK
[45:59] 如果他想要
[46:00] 回到後啊
[46:01] OK
[46:02] 如果後來的產業
[46:03] 他還去更多
[46:04] 客戶願意
[46:05] 再回到後啊
[46:06] OK
[46:07] 所以其實我們的設計
[46:14] 裡面滿多財型的
[46:15] 大概也講
[46:16] 這包裝的狀況
[46:17] 跟錢一波表現
[46:18] 我剛才給他一部分
[46:19] 好
[46:20] 錢
[46:21] 可能
[46:22] 我覺得有
[46:23] 大家可能就是
[46:24] 也滿關注就是說
[46:26] 可能
[46:27] 材料的
[46:28] 調漲
[46:29] 那我們可能就是
[46:30] 去
[46:31] 去
[46:32] 誰調這一塊
[46:33] 所以可能我們的
[46:34] 漲幅是比較關注在
[46:36] 突然之間
[46:37] 國際的一些
[46:38] 原材料的漲價
[46:39] 我們就是迅速
[46:40] 做一個反應
[46:41] 但是其實
[46:42] 接下來
[46:43] 我們的過程當中
[46:44] 這個所謂滾動式的
[46:45] 價錢調整裡面
[46:46] 就滾進來
[46:47] 越來越多
[46:48] 因為產品的優化
[46:50] 產品組合優化裡面
[46:51] 一些高階的
[46:52] 產品的
[46:53] 這些價錢調整
[46:55] 那就不是
[46:56] 只是在
[46:57] 材料上的一些調整
[46:58] 這也包括
[46:59] 我們的工藝
[47:00] 我們的研發的
[47:01] 能量的投入
[47:02] 讓客戶能夠領先
[47:04] 他的競爭對手
[47:05] 在市場上
[47:06] 能夠先
[47:07] 參與
[47:08] 再來參與
[47:09] 所以我覺得
[47:10] 在這一塊來講
[47:11] 這些價錢調整
[47:12] 大概應該可以慢慢
[47:13] 可以從我們
[47:14] 後續這幾個季度的
[47:15] 我們的獲利表現
[47:16] 都是可以展現出來的
[47:18] 行銷長
[47:23] 財務長
[47:24] 你好
[47:25] 我是文化的Gam
[47:26] 那我第一個問題的話
[47:28] 是
[47:29] 順著那個
[47:30] 行銷長剛剛講的
[47:31] 就是說
[47:32] 我們在談LTA的時候
[47:33] 其實是把一個
[47:34] 長期的
[47:35] propid
[47:36] 的profile
[47:37] 都考慮在裡面了
[47:38] 那我們重關
[47:39] 現在的
[47:40] 就是半導體的
[47:42] 算是領先
[47:43] 技術來講的話
[47:44] 我看這些廠商的
[47:46] 毛利率是很少
[47:47] 低於50%
[47:49] 甚至是60%以上
[47:51] 那我們在這期中
[47:52] 又扮演了
[47:53] 這些關鍵的角色
[47:55] 那我
[47:56] 可不可以跟投身聊一下
[47:58] 就是說我們
[47:59] 會覺得我們
[48:00] 例如說
[48:01] 兩三年之後的
[48:02] 一個毛利
[48:03] 是否是可以跟這些
[48:05] 其他關鍵的
[48:06] 半導體的
[48:07] 財量元件的毛利
[48:09] 是可以平起平坐至少
[48:13] 這個部分來講
[48:14] 我們就要看
[48:15] 我們的技術的
[48:17] 這個互成何
[48:19] 能夠多升
[48:21] 不是我們神牆
[48:22] 能夠有多高
[48:23] 因為當
[48:24] 如果說
[48:25] 以我們現在的
[48:27] 今天來講
[48:28] 也是從45、50、60
[48:29] 現在可以看到
[48:30] 可能很接近
[48:31] 也許很接近
[48:32] 70%的數字
[48:33] 那這裡面
[48:34] 就是在整合的過程當中
[48:36] 這些工資
[48:37] 比較多
[48:38] 非常非常多的事情
[48:39] 它其實
[48:40] 它這個招呼率
[48:41] 是因為它必須要
[48:42] 去幫助做很多的事情
[48:44] 帶給很多的下去
[48:45] 所以我覺得
[48:46] 如果回頭來看
[48:47] 我們自己
[48:48] 擺展怎麼看自己
[48:49] 那我覺得
[48:50] 可能很難去
[48:51] 替這個產業做發業
[48:52] 但是如果
[48:53] 以我們心理面子來講
[48:54] 我們現在在做的事情就是
[48:56] 我們要累積
[48:57] 我們的技術的能量
[48:58] 所以在這一塊來講
[48:59] 我們跟我們的這些
[49:00] 策略部分在溝通上面來說
[49:03] 我們都是很強調
[49:05] 我們要能夠有
[49:06] 研發的能量
[49:08] 所以我們這個
[49:09] 很健全的
[49:10] 過曆財務表現
[49:12] 這個是必須的
[49:14] 那所以
[49:15] 可能大家會想說
[49:16] 那它可能這個目標
[49:17] 要設在哪裡
[49:18] 其實我覺得
[49:19] 可能我覺得放在
[49:21] 以中長期來講
[49:23] 我覺得放在50到60
[49:25] 是一個比較合理的數字
[49:27] 這是一個比較合理的數字
[49:28] 那我們現在
[49:29] 可能也是在
[49:30] 往這個方向走
[49:31] 但是我還是要強調
[49:33] 我們根據調整這個獲利
[49:35] 絕對不是只是
[49:36] 跟客戶提高報價
[49:38] 我們也要回頭
[49:39] 看我們自身的能力
[49:40] 是不是有所提升
[49:42] 然後跟我們的競爭對手
[49:44] 能夠大家開聚
[49:45] 讓我們的客戶
[49:47] 跟我們合作的時候
[49:48] 讓客戶跟他的競爭日子
[49:50] 能夠快速的拉開
[49:52] 所以我覺得
[49:53] 當這些行動發生的時候
[49:54] 其實我覺得要
[49:55] 像大家想到中間
[49:57] 大於50
[49:58] 我覺得這就會是一個
[49:59] 很合理的數字
[50:00] 因為太多的資源
[50:01] 要投入
[50:02] 還有在太多的位置
[50:04] 位置的一些技術領域裡面
[50:06] 我們要去做一些
[50:07] 一些得打
[50:08] 去瞭解
[50:09] 去看徹心
[50:10] 做一些準備
[50:11] 這些東西需要有
[50:12] 很強大的一些財務的
[50:14] 一個品氣
[50:15] 那剛剛秦小黨
[50:17] 也有提到就是說
[50:18] 我們在於
[50:19] 就是說
[50:20] 討論不同先進
[50:21] 風風技術的
[50:22] total cost的時候
[50:23] 其實很明顯的
[50:24] 就是EMIB
[50:25] 提這條技術路線
[50:27] 更多的價值
[50:28] 是集中在我們的
[50:29] 災反身上
[50:30] 那層不層
[50:31] 其實我們災反
[50:32] 應該是
[50:33] 半年最關鍵的角色
[50:35] 那如果照這樣來講的話
[50:37] 理論上
[50:38] 我們要求的這個
[50:40] EMIB的毛利率
[50:41] 應該要高於
[50:42] COAS
[50:43] 相關的毛利率
[50:45] 這是否是一個
[50:46] 合理的想像
[50:47] 因為不然的話
[50:48] 就我們承擔了
[50:49] 更大的責任
[50:50] 我們卻沒得到
[50:51] 應得的報酬
[50:52] 那還不如回去
[50:53] 做簡單的 COAS的上傳
[50:55] 其實在這個
[50:57] 這個題目裡面就是
[50:59] 如果EMIB的T
[51:00] 跟COAS
[51:01] 他們兩個
[51:02] 風裝方式的產能
[51:03] 是不現代的
[51:05] 但是現在他們都不是
[51:07] 是
[51:08] 所以我們都必須要
[51:09] 落在他們的
[51:10] 我們的客戶
[51:11] 都必須要
[51:12] 都要考量
[51:13] 選擇他們
[51:14] 那在這種情況下
[51:16] 其實
[51:17] 我覺得當然就是說
[51:18] 難度
[51:19] 難易度
[51:20] 就是說
[51:21] 他的風意
[51:22] 或是他的風險
[51:23] 這當然就要反映在
[51:24] 我們的報價
[51:25] 這個是當然的
[51:26] 但大家可能
[51:27] 也不要太低估
[51:28] 就是說
[51:29] COAS
[51:30] 它已經就是
[51:31] 非常的 normal
[51:32] 其實
[51:33] COAS在他們的挑戰
[51:34] 比較大的
[51:35] reliable的時候
[51:36] 他們的風險
[51:37] 也是很高的
[51:38] 因為他們上面
[51:39] 反而這些晶片
[51:41] 的價值
[51:42] 然後在跟我們做
[51:43] 這個Internet Face
[51:44] 的成績的時候
[51:45] 其實我覺得
[51:46] 他們的難度
[51:47] 無限的
[51:48] 會比一米的低
[51:49] 更簡單
[51:51] 那再就是
[51:52] 我們兩個都不能
[51:53] 沒有
[51:54] 是因為我們的客戶
[51:55] 都不能有他們
[51:56] 因為他們兩個的產能
[51:57] 都不是
[51:58] 無限大
[52:00] 那另外的就是
[52:02] 剛剛你一開始的時候
[52:03] 有提到
[52:04] EML BT的部分
[52:05] 有些關鍵設備
[52:07] 我們是必須透過
[52:08] 中央的分派
[52:10] 那請問
[52:11] 中央分派的這個
[52:12] 所謂標準
[52:13] 是階段性的
[52:14] 良率的表現
[52:15] 還是是用什麼東西
[52:17] 來判斷
[52:18] 因為畢竟
[52:19] 設備也來自日本
[52:21] 然後
[52:22] 就是對手
[52:23] 也是日本
[52:24] 就是在這
[52:25] 指派
[52:26] Elocation的過程當中
[52:27] 我們心心是否
[52:28] 有處於一個
[52:29] 比較不利的
[52:30] 地位
[52:33] 其實
[52:34] 他要做這個
[52:35] Elocation的動作
[52:36] 就是其實都需要
[52:37] 大家要去
[52:38] Centralize的時候
[52:39] 就是要把這個效率
[52:40] 發揮到自己大的
[52:42] 就是他可能
[52:43] 會看每一個
[52:44] 女Lidl的
[52:45] 載板的Performance
[52:47] 他會看這整體的
[52:48] Output怎麼做
[52:49] 能夠最大
[52:50] 所以這裡面也來自於
[52:51] 我們
[52:52] 大家在開產的時候
[52:53] 誰的速度
[52:54] 能夠比較快
[52:55] 所以他會去
[52:56] 針對我們
[52:57] 速度去做調配
[52:58] 所以其實應該是
[52:59] 我想表達的是
[53:00] 這一句
[53:01] 所以在這樣的情況下
[53:02] 應該就是說
[53:03] 對我們中專科目來講
[53:04] 他拿到一米的
[53:05] Centralize的
[53:06] 載板的
[53:07] 溝通Output的
[53:08] 是最大
[53:09] 因為他的這個
[53:10] 關鍵設備
[53:11] 時間節點
[53:12] 是最好的
[53:14] 不算到
[53:15] 但是這個
[53:16] 這個Elocation的差異
[53:19] 是那個進來的速度
[53:21] 還是他是
[53:22] 還是他是
[53:23] 最後就是說
[53:24] 一個派是百分之百
[53:25] 我三加分是
[53:26] 四三三
[53:27] 還是六分
[53:28] 而且我們是三分之一
[53:29] 所以數量是不變的
[53:30] 我們都會拿到
[53:31] 進來的時間點
[53:32] 我們都會拿到
[53:33] 我們應該要的排序
[53:34] 但是這個排序
[53:35] 他進來的時間
[53:36] 他們還會做
[53:37] 非常危觀的調控
[53:39] 其實我想要表達
[53:40] 現在在
[53:41] 現在這個AI的
[53:42] 生態裡面
[53:43] 是我們
[53:44] 我們所有的精準
[53:45] 同步這邊
[53:46] 很重要
[53:47] 那大家可能
[53:48] 以前想到
[53:49] 這樣做的是這種競爭
[53:50] 或是講一個產業
[53:51] 一個產業很多的
[53:52] Silo
[53:53] 但是現在的確
[53:54] 大家在打破這些反應
[53:55] 我們也希望
[53:56] 就是對於
[53:57] 我們中專科目來講
[53:58] 他們能發到
[53:59] 一個最好的結果
[54:00] 在這個過程當中
[54:01] 我覺得大家
[54:02] 都不會讓
[54:03] 所有的產能
[54:04] 或是資源
[54:05] 會有任何的浪費
[54:06] 那隨著就是
[54:08] 上一次
[54:09] 我們也想說
[54:10] 會是大概
[54:11] 2月3月的時候
[54:12] 到現在也快半年了
[54:14] 就是可不可以
[54:15] 再跟我們更新一下
[54:16] 我們就是
[54:17] 在辦各個場區
[54:19] 所規劃的一個
[54:21] 時程表
[54:22] 然後
[54:23] 因為我想應該
[54:24] 會有所不同
[54:25] 並且就是
[54:26] 我們也有觀察到
[54:28] 就是說
[54:29] 我們有一些老舊的場區
[54:30] 開始
[54:31] 有一些退役轉型的過程
[54:33] 那這是否
[54:34] 會在就是
[54:35] 我們看得到
[54:36] 這些新場區之外
[54:38] 可以多一些
[54:39] 就是再一半
[54:40] 相關的產能的
[54:41] 一個增加幫助
[54:43] 所以是可以給我們一個
[54:44] 整體
[54:45] 各個場區的
[54:46] 廠能的規劃
