SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://irconference.twse.com.tw/2356_231_20260512_ch.mp4
VIDEO TITLE: TWSE irconference replay
CALL DATE: 05-12-2026
QUARTER: Q1 FY2026
# source label: Inventec Q1 FY2026 (05-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1505   characters: 12,651

---
[00:43] 時間到 那我們開始
[00:46] 各位投資先進朋友午安 大家好
[00:49] 我是富邦投資為了下遊硬體的分析師Titan
[31:43] 我是不是可以往這個方向去走
[31:45] 就說
[31:46] 我不要負責這些key component
[31:48] 就是對於
[31:49] 比如說以後來講
[31:50] 這樣的比例可以在
[31:52] 比如說
[31:53] 就是
[31:54] 康賽部分可以再增加
[31:56] 您會這樣可以這樣
[31:58] 跟客戶要求嗎
[31:59] 還是
[32:00] 我目前沒有這種action
[32:02] 目前來講
[32:03] 基本上來講
[32:04] 目前還是follow客戶的
[32:06] 整個April Gmodel
[32:08] 目前我們看起來是OK的
[32:10] 了解 好 謝謝
[32:12] 第二個問題
[32:13] 要跟您請教是說
[32:14] 因為您這也特別提到
[32:16] general purpose
[32:18] 大概成長幅度很快
[32:20] 在今年以來
[32:21] 那我想請教一下在general purpose
[32:24] 就是通用型伺服器來講
[32:26] 您會有看到
[32:28] 比較tight的
[32:30] component parts
[32:31] 所以您跟您的客人
[32:33] 會比較緊張
[32:34] 所以需要先
[32:35] 買比較多一點
[32:36] 因為您知道
[32:37] 可能今年不是只有今年
[32:38] 明年這些key parts
[32:40] 也會變得比較tight
[32:42] 所以有可能要先去做
[32:44] propument
[32:45] preview
[32:46] 有這樣的component
[32:47] 您有在觀察到
[32:49] 跟客戶有提到說
[32:50] 我們要先去來做採購的
[32:52] 謝謝 這是我第二個問題
[32:54] OK 其實有些材料
[32:55] 是客戶做
[32:56] 做control
[32:57] 就是Buy and sell
[32:58] 所以那部分
[32:59] 比如像memory hard drive
[33:01] SSE這部分來講
[33:02] 是客戶去做所謂Buy and sell
[33:04] 所以基本上這部分的材料
[33:05] 是客戶在負責
[33:07] 那我們負責的東西
[33:08] 大部分都是
[33:09] 板端上面的一些component
[33:11] 那目前來講
[33:12] 當然只有看的
[33:13] 還是要陸陸續看到
[33:14] 一些缺料狀況下
[33:15] 那這部分來講
[33:16] 我們會做提前背料的動作
[33:20] 您可以提到一下
[33:21] 哪些東西是
[33:22] 因為這次general service
[33:24] 特別好的帶動下
[33:27] 有出現比較明顯的
[33:29] 原物料缺貨的狀況嗎
[33:32] 這個其實不能講
[33:33] 是因為general service
[33:34] 特別好帶動的缺料
[33:36] 應該整體的市場
[33:38] 整個都是
[33:40] 裡面都是增加所帶動的缺料
[33:43] 所以歐穆來講
[33:44] 其實一些板端的材料
[33:46] 來講還是要缺
[33:47] 現在看到一些POW IC
[33:48] 也是在缺
[33:50] POW IC可能被動元件
[33:52] 可能PCB類似像這樣
[33:54] 都會有一些
[33:55] 對 因為整體的需求增加
[33:58] 不是某一個單一個增加
[34:01] 造成的
[34:02] 了解 我們有問題
[34:03] 謝謝
[34:04] 謝謝各位長官 謝謝
[34:06] 謝謝Edward
[34:11] Titan目前沒有線上的提問
[34:13] 你可以繼續發問 謝謝
[34:18] 我有一個發 up 的問題
[34:20] 就是剛剛有提到
[34:21] L6跟L10
[34:22] 未來都會同步的再增加
[34:25] 那剛剛check 有提到
[34:26] 好像說L6的增加的
[34:29] 會比較多一點
[34:30] 我想確認一下
[34:31] 這個部分是指
[34:32] revenue 的部分
[34:33] 還是數量的部分
[34:35] 數量 數量 數量
[34:36] 一數量 還是數量
[34:37] 一 團數量
[34:39] revenue 當然是兩個差異太大了
[34:43] 那如果隨著這個系統的
[34:47] 就是AI server 系統的
[34:49] 這個出貨未來的增加
[34:51] 那對我們的module
[34:53] module的部分
[34:54] 是不是會有一些些的影響
[34:58] 會 毛利一定會往下降
[35:00] 因為over來講
[35:01] 它分母太大了吧
[35:03] 但是對整體來講
[35:04] 絕對實在講
[35:05] 還是會增加的
[35:09] 那我這邊還有另外一個問題就是
[35:11] 關於下一代的GPU的server的產品
[35:17] 那不知道目前
[35:18] 我們音樂打這邊
[35:19] 整個的開發的狀況
[35:22] 包括就是Rubin
[35:25] 或者是MI
[35:26] 這個不同系列的產品
[35:28] 的一個狀態
[35:29] 可以跟大家分享一下嗎
[35:32] 目前其實是NV跟MD
[35:35] 兩個都在NPI stage
[35:38] 那後面來講
[35:39] 其實anyway我們是
[35:41] 一定會想辦法
[35:42] MIT NV跟MD
[35:43] 他們的量產 schedule 就對了
[35:45] 但目前還在NPI stage
[35:49] 那有一個大概的時程表
[35:51] 就是可能量產的時間點
[35:54] 會落在哪
[35:55] 量產時間點 根據
[35:58] 外面講的都是講
[35:59] 今年下半年還年底
[36:03] 了解
[36:05] 那還有一個部分
[36:07] 還有就是
[36:09] 這兩個部分
[36:11] 目前還是會L6為主嗎
[36:15] 不一定 這兩個其實
[36:17] 應該講L6跟L10都有
[36:22] 那初期來講
[36:24] 我們當然是以L6為主
[36:27] 那Ivy 我看到現在好像有人提問
[36:35] 對 現在Angela 林師
[36:37] 還有想要繼續提問嗎
[36:41] 是的 謝謝
[36:43] 謝謝關麗澄
[36:45] 我也想再請問一下
[36:48] 第二季的想法
[36:50] 就是說剛剛
[36:52] 大家對於第二季的方向上面
[36:55] 比較沒有那麼clear的一個說法
[36:58] 如果可以bring down 各個產品面
[37:01] 各自本身的這些動能方向
[37:04] 可以幫我們解脫
[37:06] 要破形一下 謝謝
[37:08] 第二季來講
[37:10] 其實我目前看到
[37:11] 第二季整體的over-in收
[37:13] 是會超過第一季
[37:15] 那整個server還是成長
[37:17] 那你第七部分來講
[37:19] 應該是比較持平
[37:20] 對 比較持平
[37:21] 對 那整體來講
[37:23] 應該是還是成長的
[37:25] 目前看到
[37:27] 謝謝
[37:28] 我問一下server的整體是往上的
[37:31] 它的動能
[37:32] 主要是general server來帶動
[37:33] 還是有AI這邊
[37:35] 也有冰鞋的在增加
[37:37] 一個兩個都有增加
[37:39] 大概個別看來快的幅度
[37:45] 不管就量或就銀收的角度
[37:47] 可以有一些暗示嗎
[37:50] 以銀收來講
[37:52] 其實應該講
[37:53] 我們組合不太一樣
[37:54] 以銀收來講
[37:55] 當然是整個機櫃的銀收
[37:57] 扔個增加的比例會比較高
[37:59] 但是以數量來講
[38:01] 其實還是l6
[38:02] 一些general server的數量
[38:05] 會增加比較多
[38:07] OK 應該是說
[38:10] 因為通常過往第2季
[38:12] 都是我們出系統
[38:14] 然後給一些中國客戶的比例
[38:16] 是比較高
[38:17] 不知道今年的狀況
[38:18] 是不是也是跟過往
[38:19] 蠻類似的
[38:21] 在第2季
[38:23] 我們第2季應該是
[38:25] 比第1季還是成長
[38:27] 不管在數量跟rever
[38:28] 上面來講都是增加的
[38:30] 好的 那再問一下
[38:34] 如果是以第2季
[38:35] 現在看到的方向
[38:36] 就是說我們的server上
[38:38] 然後pt前對比比較平
[38:40] 這樣子的毛利率的影響
[38:43] 會是怎麼樣
[38:44] 跟第1季來比的話
[38:48] 以第2季毛利率
[38:49] 跟第1季會差不多了
[38:51] 其實差不多
[38:53] 因為我覺得比例來講
[38:54] 會差不多
[38:55] 就整個l10跟l6的比例
[38:57] mix的比例應該會差不多
[39:00] OK
[39:02] 所以這毛利率
[39:03] 應該是蠻接近
[39:05] 第1季然後可是就
[39:07] 營業利率
[39:09] 營業利率還開後
[39:10] 隨著營業規模的
[39:11] 更加棒棒
[39:13] 這個營利率
[39:15] 可望有一些
[39:16] 競爭期的
[39:18] 上揚
[39:20] 以server來講
[39:21] 是這樣有沒有錯
[39:22] 對
[39:25] 好 謝謝
[39:27] 我等問題先到這裡
[39:31] 謝謝Angela
[39:32] 那下一個問題
[39:33] 回到JP
[39:34] Albert請您提問
[39:36] 謝謝
[39:37] 謝謝關注
[39:41] 我的包包
[39:42] 我想問一下
[39:43] 比較
[39:44] 長遠的問題
[39:45] 就是說剛剛關注者有提到說
[39:47] 我們明年的
[39:48] AI project
[39:49] 有NVIDIA
[39:50] 有AND
[39:51] 有Level 6
[39:53] 有Level 10
[39:54] 甚至今年
[39:55] 這個Ace看起來
[39:56] 也成長得不錯
[39:57] 那
[39:59] 我知道這個
[40:00] 因為打這個設計能力
[40:01] 非常強
[40:02] 那我們拿到很多
[40:03] project
[40:04] 這個是
[40:05] 很有可能的事情
[40:07] 我想問的就是說
[40:08] 在我們的Working Capital
[40:10] 相對比較支援
[40:11] 有限的情況下
[40:12] 我們會怎麼去
[40:14] 分配
[40:15] 去Prioritize
[40:17] 這麼多project
[40:18] 畢竟
[40:19] 我看我們賬上現金
[40:20] 現在
[40:21] 就算我不考慮這個
[40:22] DAB
[40:23] 大概就45個Billion的
[40:26] 這個
[40:27] 新台幣
[40:28] 那如果把它轉換成系統
[40:29] 的話其實就是
[40:30] 差不多
[40:31] 兩三K的Rack
[40:32] 那基本上
[40:33] 就是一個
[40:34] 如果我們今天
[40:35] 去拿到一個project
[40:36] 要有一個
[40:37] 比較好的一個規模的話
[40:39] 大概
[40:40] 就會是在
[40:41] 這個水準差不多
[40:43] 那所以
[40:44] 如果從公司的
[40:45] 資源分配角度的話
[40:47] 我們去看明年
[40:48] 我們會把資源
[40:50] 優先分配在哪些
[40:52] project
[40:53] 謝謝
[40:55] 目前我們是沒有考慮這個
[40:57] 我想也許那個資訊應用來講
[40:59] 也許我那個財務長
[41:00] 他可以更新
[41:01] 但目前我們看起來
[41:02] 目前是沒有這個困擾
[41:04] 所以
[41:05] 應該是說
[41:06] 我們只要抓得到機會來講
[41:08] 我們都會做
[41:10] 了解
[41:11] 懂您意思
[41:14] 然後在於
[41:15] 可能資本支出
[41:17] 跟產能規劃的部分
[41:19] 可以跟我們分享一下嗎
[41:20] 因為我們看到
[41:21] 可能
[41:22] 最近不管是
[41:24] Pi-SR
[41:25] GenoSR這邊的成長都非常的強
[41:27] 那
[41:28] 甚至AMD也提到說
[41:29] 接下來幾年
[41:30] GenoSR的
[41:31] 成長率是35%以上
[41:33] 那
[41:34] 銀行打字跟GenoSR
[41:36] 其實第四上也都是很重要的角色
[41:38] 我不知道
[41:39] 有沒有因為這樣
[41:40] 對於這個資本支出
[41:42] 產能的部分規劃
[41:44] 有一些新的進展
[41:46] 謝謝
[41:47] 我們其實
[41:48] 我記得上次應該有提到
[41:49] 資本支出應該是近年
[41:50] 超過10億美金
[41:52] 近年超過10億美金
[41:53] 是比去年比較
[41:54] 幾乎是double
[41:56] 那基本上這些的Capture Investment
[41:58] 幾乎都是花在
[42:00] 生產線的過沖上面
[42:02] 所以我們針對
[42:03] 版端的生產線跟
[42:05] 系統端生產線其實都擴嘛
[42:07] 所以目前來講在整個泰國
[42:10] 我們講說基本上來講
[42:12] 台灣
[42:13] 大陸
[42:14] 泰國
[42:15] 墨西哥
[42:16] 美國
[42:17] 還有捷克廠來講
[42:18] 基本上都是
[42:19] 還有一個越南廠
[42:20] 基本上都是一個
[42:21] 都是一個在擴廠的階段
[42:22] 而增加生產設備
[42:23] 所以
[42:24] 近年應該
[42:25] 超過10個B的人Capture Investment
[42:27] 對
[42:29] 那不錯
[42:30] 說一下剛才
[42:31] 就講的是
[42:32] 包含就是
[42:33] 長區的購買
[42:35] 是土地跟
[42:37] 建築的部分
[42:39] 所以這個整個
[42:42] 會有10個
[42:44] 10個億的美金的部分
[42:46] 所以
[42:47] 不是全部都是
[42:49] 短期的攤體
[42:51] 懂 非常清楚
[42:54] 那
[42:56] OPAS的部分
[42:57] 剛剛財務長有提到說
[42:59] 這個
[43:00] 我們就差不多是
[43:02] 65億這個
[43:03] 數字左右
[43:04] 那
[43:05] 我想問說
[43:06] 那如果像接下來
[43:07] 第二 第三 第四季營收
[43:09] 在持續往上
[43:10] 我們OPAS也是在
[43:12] 這個金額
[43:13] 附近嗎
[43:14] 還是說下半年
[43:15] 可能因為
[43:16] 有新的AI Project在開發
[43:18] 那
[43:19] 會有一些營收在往上
[43:20] 造成一些SGN往上
[43:22] 這部分
[43:23] OP的Labrage
[43:25] 這部分應該怎麼去想
[43:27] OPAS來講
[43:31] 基本上跟著量成長
[43:33] Revenue去成長了
[43:35] 所以我們現在
[43:36] 能夠做小辦法
[43:37] 每天那個比例
[43:38] 或Even把那個比例往下降
[43:41] 我們的OPAS
[43:43] 支出大部分
[43:45] 跟著你的
[43:47] 生產據點
[43:49] 的延伸比較有相關性
[43:52] 那
[43:53] 我覺得增加
[43:54] 當然會增加一些費用
[43:56] 不過基本上
[43:57] 這個在業界的開發管理
[43:59] 你會透過所謂
[44:01] Ni等等
[44:02] 這個部分
[44:03] 來Color你的費用
[44:05] 所以
[44:06] Project增加
[44:07] 並不會說
[44:10] 對於費用的增加
[44:12] 非常的巨大
[44:14] 了解 非常清楚
[44:18] 最後一個問題
[44:19] 問一個細節
[44:20] 就是說剛剛有提到說
[44:21] Geno Silver今年的
[44:22] 續盟成長的
[44:23] 20%以上
[44:25] 那這邊可以再跟我們分享一下
[44:28] 第一個是說這20%
[44:30] 如果我們去看
[44:31] Interprice跟CSV的話
[44:32] 有顯著差距嗎
[44:34] 那第二個是說
[44:35] 從跟客戶的溝通上
[44:38] 已經有看到
[44:39] 接下來可能
[44:40] 27年 28年
[44:42] 他們對於Geno Silver的想法嗎
[44:45] 如果以這部分來講
[44:48] 以應該講說
[44:50] Interprice來講
[44:51] 大家有持平
[44:52] 我目前看到持平
[44:53] 所以其實增加
[44:54] 都是從CSV過來的
[44:56] 那如果看2728的部分來講
[44:59] 目前看到還是成長
[45:03] 了解 非常清楚
[45:05] 可以提醒我一下
[45:07] 這個
[45:08] Interprice的佔比
[45:10] 目前是在
[45:12] server裡面是多少嗎
[45:13] 你說市場的佔比嗎
[45:17] 沒有
[45:18] 就音樂打過归市的這個
[45:20] server裡面
[45:21] 以出貨的角度
[45:23] Interprice目前
[45:24] 在Geno Silver比例是多少
[45:27] 數量還是revening
[45:30] 數量
[45:32] 數量佔比其實
[45:35] 我跟他算一下
[45:36] 應該現在佔比
[45:38] 應該你
[45:42] CSV應該不到20%
[45:48] 了解
[45:49] 所以CSV可能就是
[45:51] 25%增加
[45:53] 25%以上的增加
[45:54] 那我知道了
[45:56] 謝謝關於陳
[45:57] 那我沒有加問題
[45:58] 謝謝
[46:03] 請問Angela您是
[46:04] 還有Valabcussion嗎
[46:08] 沒有 謝謝
[46:09] 謝謝
[46:10] 他台臺臺目前
[46:11] 現在沒有人舉手提問
[46:13] 謝謝
[46:14] 好 介紹
[46:15] 我這邊有另外
[46:17] 說到兩個問題
[46:18] 我幫忙提問一下
[46:20] 第一個問題是
[46:22] 臺灣的歐聯同業都認為
[46:23] 在營收規模擴大的同時
[46:25] 毛利率息是
[46:27] 難以避免的趨勢
[46:30] 但是投資人應該更
[46:32] 著重於獲利金是否增加
[46:35] 不應該只看毛利率
[46:37] 毛利率來看待公司的投資價值
[46:39] 想問一下業達對於
[46:41] 這個樣的看法是認同嗎
[46:44] 第二個問題是
[46:45] 有關業達的中系客戶
[46:48] 大幅上修他的資本支出
[46:50] 達25%到大概2000億人民幣
[46:53] 那這個部分對於
[46:55] 我們業達的營運
[46:56] 是不是會有幫助呢
[46:59] OK
[47:00] 我想第一個問題來講
[47:01] 當然是其實現在
[47:03] 臺灣Odm server的Odm來講
[47:06] 其實營收增加很大
[47:08] 比重的是來自於
[47:09] 那些key component
[47:10] 所以基本上來講
[47:12] 營收增加我認為
[47:14] 毛利率一定都往下降
[47:16] 因為你畢竟你的
[47:17] Valid的部分來講
[47:18] 能夠contribute的部分
[47:19] 跟整體的經驗比起來
[47:21] 相對來講是比較少的
[47:24] 那真的是我認同
[47:26] 基本上要看成的那個
[47:28] Batternight比較準
[47:30] 因為不然營收的部分
[47:33] 怎麼講
[47:34] 就剛剛有人提到
[47:35] 你要把材料改成
[47:36] 扯上的時候
[47:37] 那你的毛利率就拉上去了
[47:39] 那個東西其實是有點
[47:41] 比較tricky的
[47:43] 所以我覺得應該看
[47:44] Batternight是比較準的
[47:45] 就是你的客戶的
[47:46] April Shimano什麼樣子
[47:48] 會決定你的毛利率
[47:49] 也決定你的營收
[47:51] 這部分當然也可以跟客戶談
[47:53] 不過我覺得基本上是善統的
[47:55] 看Batternight是比較準的
[47:57] 營收其實不太準
[47:58] 因為毛利率其實不太準
[48:00] 那我不想第二問題是
[48:03] 第二問題就是中氣客戶
[48:06] K-Base打上秀25%
[48:09] 其實我們還是滿看好的
[48:11] 目前over來講
[48:13] 我們應該是會
[48:15] 隨著他們成長而成長
[48:20] 那我這邊還有一個發問的
[48:22] 就是關於MD這個fragic的部分
[48:25] 那不確定說
[48:27] 英達這邊在就是接下來的
[48:30] Business Model
[48:31] 是不是已經有跟客戶談好
[48:34] 想要了解一下就是
[48:36] 英達未來在MI這個產品
[48:38] 跟過去的合作夥伴ZT這邊
[48:41] 在MI450這個系列
[48:43] 的配合的模式會是怎麼樣
[48:47] 不知道有沒有討論過
[48:49] 應該講目前我們大概是
[48:51] 初期大概是一個
[48:53] 版質的那個providal
[48:55] initial stage大概會這樣
[48:56] 那後面來講我們看UPT
[48:57] 你如果機會來講
[48:58] 我們可以直攻說整個Rick這樣子
[49:01] OK 要不解
[49:06] 那還有就是
[49:08] 最近好像有聽說
[49:10] 有一個模一個美系大的軟體雲端大廠
[49:14] 有在跟貴師討論
[49:16] GPU這一個部分的L6的這個
[49:19] 配合的聲音的可能性
[49:21] 這個有辦法可以分享一下嗎
[49:26] 這個我覺得對特定客戶來講
[49:29] 我們沒有辦法分享這個資訊
[49:31] 抱歉
[49:33] OK 了解
[49:35] 那我最後一個問題是
[49:36] 車用這個部分有什麼可以分享的嗎
[49:40] 車用整體還是成長
[49:41] 其實車用這幾年
[49:43] 幾年下來都
[49:44] 每年都是成長幅度滿大的
[49:46] 那今年來講應該至少
[49:48] 今年營收應該會去年至少
[49:50] 超過兩倍以上
[49:51] revenue wise
[49:52] 但是其實車用還是在一個投資階段
[49:55] 因為整個認證的時間比較久
[49:59] 所以over來講
[50:01] 它的investment
[50:02] 遠比營收來的早
[50:06] 但是目前我們看到是一個滿正面的
[50:09] 整體營收來講
[50:10] 今年應該會比去年大至少兩倍以上
[50:13] 那明年還會持續成長
[50:15] 我們需要一個scale
[50:17] 我想車用那部分還是要一個scale
[50:19] 當scale大的時候
[50:20] 其實也是一個滿不錯的business
[50:26] 好的 了解
[50:27] 那我看現在線上也沒有問題
[50:30] 也沒有人要舉手發問
[50:32] 那由於時間的關係
[50:34] 我想我們今天這一季的法說會
[50:37] 就到此結束
[50:39] 那我們謝謝管理層抽空
[50:41] 跟我們解釋這一季的狀況
[50:43] 跟未來的掌望
[50:45] 那也謝謝各位投資先進朋友的參加
[50:47] 那我們下一次再見
[50:49] 謝謝大家
[50:51] 謝謝
